Film,Rating,Year,Budget,Actor,Director,Writer
2043756,5.3,1985,2200000,5.674843403894583,4.550000071525574,4.550000071525574
2043757,5,1989,8000000,5.321886589913123,5.8,5.8
2044179,7.4,1984,16000000,7.220625452798511,7.650000035762787,7.650000035762787
2044347,5.8,2012,175000,5.893579846534177,5.800000190734863,5.800000190734863
2044355,6.5,2009,14000000,6.443867778322764,6.475000023841858,6.475000023841858
2044363,5.2,2013,5000000,5.542434229802604,5.199999809265137,5.199999809265137
2045032,6.8,2006,10000000,6.677278056868071,6.669230717879075,6.669230717879075
2045664,8.2,1961,1500000,7.639227388069113,6.699999809265137,6.699999809265137
2045931,4,2013,5000000,5.166214278993152,4,4
2045936,4.2,1987,12000000,4.834837143590464,5.4999998807907104,5.4999998807907104
2046526,7.1,2006,8500000,6.712472500039837,7.066666762034099,7.066666762034099
2046802,7,2009,7000000,6.853351722415106,7.50769226367657,7.50769226367657
2046890,7.2,2009,5011482,7.053264962302313,7.099999904632568,7.099999904632568
2047142,7.5,1998,17000000,7.033135312478041,6.750000047683716,6.750000047683716
2047167,5.3,1997,28000000,5.905080437559487,5.766666730244954,5.766666730244954
2047191,7.6,2009,7000000,7.107767007542549,7.599999904632568,7.599999904632568
2047431,4.7,1997,18000000,5.107297509019165,4.699999809265137,4.699999809265137
2047550,7.2,1984,6000000,6.875238869163717,6.7399999618530275,6.7399999618530275
2047898,7.7,1937,1173639,7.543502804027152,7.382499945163727,7.382499945163727
2047902,6.5,1976,6000000,6.542990891948615,6.5,6.5
2048182,8.1,1951,1800000,7.648055744907002,7.750000238418579,7.750000238418579
2048986,5.5,1996,8000000,5.625391902408031,5.5,5.5
2049057,5.9,2012,40000000,5.990767621877831,5.337500095367432,5.337500095367432
2050055,5.5,1996,15000000,5.92842247852313,5.400000095367432,5.400000095367432
2050095,6.3,2011,19000000,6.181825129205661,6.300000190734863,6.300000190734863
2050260,6.3,1985,30000000,6.447639992138646,6.233333349227905,6.233333349227905
2050603,6.6,1995,20000000,6.506527139982563,6.599999904632568,6.599999904632568
2050625,7.4,1945,800000,7.347441929440166,7.299999952316284,7.299999952316284
2050657,7.4,2002,11000000,6.724295406866258,5.9666666984558105,5.9666666984558105
2052196,4.7,2009,4868400,5.573148048586315,6.266666571299235,6.266666571299235
2052234,7.8,2011,3245600,7.70833347638448,7.800000190734863,7.800000190734863
2052615,7.3,2008,838390,7.216666846048264,7.300000190734863,7.300000190734863
2052645,3.1,2002,1866220,4.257499946488275,3.0999999046325684,3.0999999046325684
2052815,7.1,2013,1947360,7.099999904632568,6.799999952316284,6.799999952316284
2052911,7.3,2010,5192960,7.247222344080607,7.300000190734863,7.300000190734863
2052956,7.9,2004,4868400,7.621354257067044,7.900000095367432,7.900000095367432
2053015,4.8,2002,25000000,5.156786833082451,4.800000190734863,4.800000190734863
2053226,7.1,1955,743000,7.24399425851101,6.799999952316284,6.799999952316284
2053227,7.1,1949,686000,7.227992539095554,7.399999936421712,7.399999936421712
2053228,6.5,1955,738000,6.840210007220773,6.799999952316284,6.799999952316284
2053394,5,2011,35000000,5.775123193910132,6.066666682561238,6.066666682561238
2053483,6.8,2010,1000000,6.723077107698488,6.800000190734863,6.800000190734863
2054009,7.1,2002,27000000,7.056679239528539,6.137142821720668,6.137142821720668
2054046,4.8,2012,2500000,5.135168545398263,4.800000190734863,4.800000190734863
2054210,5.9,1988,7500000,6.101685489535985,6.414285796029227,6.414285796029227
2054280,6,2012,69000000,6.069642763211158,6.125,6.125
2054322,7.8,1997,2571318.7,7.390877314617761,7.640000057220459,7.640000057220459
2054518,5.8,2011,70000,5.9514876466252025,6.150000095367432,6.150000095367432
2054532,4.2,2003,8000000,5.00997341008832,4.199999809265137,4.199999809265137
2054577,7.8,1999,1478305,7.632657815744212,7.400000095367432,7.400000095367432
2054928,6.6,2012,5000000,6.588194360997942,6.599999904632568,6.599999904632568
2055223,6.5,1993,2500000,6.697916654745738,6.762499988079071,6.762499988079071
2055359,8.2,1951,1821052,7.889215620849584,7.790476231347947,7.790476231347947
2055404,6.2,1995,30000000,6.226967116230694,6.174999833106995,6.174999833106995
2056063,7.5,2007,45000000,7.165115367354934,7.450000047683716,7.450000047683716
2056145,6.5,2012,12000000,6.431605217346813,6.549999952316284,6.549999952316284
2056321,5.1,1988,7000000,6.024853749068439,5.600000063578288,5.600000063578288
2056768,6,1997,1482576,5.938904764538719,5.799999952316284,5.799999952316284
2056896,6.3,2008,10000000,6.3339553906634585,6.657142843518939,6.657142843518939
2057010,7.7,2002,19000000,7.0653026939503265,7.866666793823242,7.866666793823242
2057763,6.9,2008,22000000,6.803033408164978,6.900000095367432,6.900000095367432
2057797,5.7,2013,13000000,5.858788503357318,6.014285700661795,6.014285700661795
2057968,6.4,2008,4700000,6.351028975179037,6.628571442195347,6.628571442195347
2057973,6.2,2013,16000000,6.229637313516968,6.449999809265137,6.449999809265137
2058119,5.4,2007,4000000,5.64831459902221,5.400000095367432,5.400000095367432
2058398,7.6,2010,500000,7.478780793554989,7.599999904632568,7.599999904632568
2058616,6.3,2008,2500000,6.224916329996874,6.300000190734863,6.300000190734863
2059169,7,1997,6000000,6.3827211189445014,6.657142843518939,6.657142843518939
2059860,5,2013,130000000,5.562399149867922,5.883333285649617,5.883333285649617
2059904,7.7,1985,4500000,7.002997484082743,7.305882341721478,7.305882341721478
2060081,5.7,2007,825000,5.899027125332462,5.699999809265137,5.699999809265137
2060301,6.3,2004,58000000,6.296636698185709,6.327272675254128,6.327272675254128
2060404,6,2009,4500000,6.126345767366776,6,6
2060579,4.8,2012,2000000,4.8809244969938295,4.800000190734863,4.800000190734863
2060738,5.8,1984,13000000,5.959914950547949,6.524999976158142,6.524999976158142
2061160,5,2003,26000000,5.514555315031949,5.699999968210856,5.699999968210856
2061273,5.5,2004,16189600,5.705608983223255,5.5,5.5
2061452,7,2012,9736800,6.776071444327238,7,7
2061570,5.5,2010,4278680,5.802105253621153,5.5,5.5
2061628,7.2,2009,70000000,6.973375352752673,7.640000057220459,7.640000057220459
2062722,7.3,1999,8869830,7.254391689906045,7.300000190734863,7.300000190734863
2062889,5.7,1990,35000000,6.026168175462543,6.149999976158142,6.149999976158142
2062931,6.4,1997,85000000,6.369911175861607,6.883333285649617,6.883333285649617
2063060,6.1,1993,2600000,6.193874636826465,6,6
2063064,3.9,2012,1200000,4.518328089171617,3.5,3.5
2063170,6.6,1970,10000000,6.668084072467326,6.74999992052714,6.74999992052714
2064079,8.1,1988,9369800,7.607463094780969,7.500000238418579,7.500000238418579
2064260,5.9,2001,2200000,6.161555607053969,5.900000095367432,5.900000095367432
2064423,7.3,1994,2000000,7.220555696222517,7.300000190734863,7.300000190734863
2065274,4.6,2009,8114000,4.785449641091483,4.599999904632568,4.599999904632568
2065565,5.7,1996,23000000,6.069595868418914,5.699999809265137,5.699999809265137
2065641,6.1,2006,28000000,6.3012023926074425,6.299999952316284,6.299999952316284
2065869,6.1,1996,5000000,6.304598622220257,6.3999998569488525,6.3999998569488525
2066306,5.1,2012,35000000,5.645236467241335,5.960000038146973,5.960000038146973
2066387,5.5,2004,155000000,5.93089487262072,6.95,6.95
2066392,6.5,2014,28000000,6.442433764356557,6.5,6.5
2066428,7.1,1938,2000000,7.241309108267309,7.233333269755046,7.233333269755046
2066460,6.6,2003,1646100,6.571555480957032,6.799999952316284,6.799999952316284
2066519,7.8,1964,783000,7.536111246455799,7.800000190734863,7.800000190734863
2066581,6.2,2004,60000000,6.2875059209659785,5.766666571299235,5.766666571299235
2066852,6.7,2001,107000000,6.501361891587952,7.100000040871756,7.100000040871756
2066910,6.2,2002,7564750,6.3400872431447235,6.199999809265137,6.199999809265137
2067125,6.6,1990,12000000,6.509266018239502,7.158064519205401,7.158064519205401
2067214,7.4,1974,1800000,7.105983845718958,7.305882341721478,7.305882341721478
2067245,8,1974,295661,7.748484857154616,7.033333381017049,7.033333381017049
2067279,7.4,1951,3000000,7.408116005238703,7.425000063578288,7.425000063578288
2067385,5.8,1972,2500000,6.1056869287193924,5.800000190734863,5.800000190734863
2067477,8.5,1979,11000000,6.791813934469416,6.866666603088379,6.866666603088379
2067486,2.6,2005,600000,3.0223255001297296,2.5999999046325684,2.5999999046325684
2067514,5.8,2006,7564750,6.148920842663345,5.800000190734863,5.800000190734863
2067598,6.3,1988,16000000,6.314838634260318,5.1000001430511475,5.1000001430511475
2067677,4.4,2010,600000,4.583333412806192,4.400000095367432,4.400000095367432
2067689,6.3,1997,75000000,6.2555733521190975,7.416666587193807,7.416666587193807
2067793,6.4,1992,63000000,6.5485363550420495,8.03333330154419,8.03333330154419
2068449,6.6,1989,14000000,6.505448647951468,6.507142861684163,6.507142861684163
2068714,3.7,2006,3100000,4.652630066596406,4.350000023841858,4.350000023841858
2068850,6.9,2013,9000000,6.807142870766776,6.900000095367432,6.900000095367432
2069097,7.6,2002,9000000,7.424844533154087,7.674999952316284,7.674999952316284
2069245,3.8,2005,1200000,4.1007905283737,4.449999928474426,4.449999928474426
2069293,7.2,1997,1258560,7.115880343899036,7.199999809265137,7.199999809265137
2069423,5.6,2006,750000,5.727156825626598,6.850000023841858,6.850000023841858
2069479,6.2,2006,55000000,6.371904694018715,6.199999809265137,6.199999809265137
2069520,5.8,2000,57000000,6.03063071844756,6.50000015894572,6.50000015894572
2069526,4.5,2001,25000000,4.997325579694999,5.6333333651224775,5.6333333651224775
2069666,7.7,1940,1370000,7.545780861271798,7.699999809265137,7.699999809265137
2069676,7.2,1941,750000,7.406342243883468,7.199999809265137,7.199999809265137
2070258,6.7,2005,1556060,6.711371111630597,6.699999809265137,6.699999809265137
2070429,7.1,2007,4325514.2,6.893785230633006,7.099999904632568,7.099999904632568
2070601,5.9,1980,1500000,6.12266120124517,6,6
2071056,5.4,1990,25000000,5.957672318642097,5.400000095367432,5.400000095367432
2071090,7.9,2000,60000000,7.159184234666317,7.066666762034099,7.066666762034099
2071478,2.3,2005,20000000,4.837677277394982,3.3999999931880405,3.3999999931880405
2071553,6.2,2006,1000000,6.182499928133828,6.199999809265137,6.199999809265137
2071591,6.3,2001,60000000,6.1648849020827345,6.424999952316284,6.424999952316284
2071598,5.9,2004,42000000,5.950756648559515,6.3666666348775225,6.3666666348775225
2071828,7.2,1965,220000,7.2570832608711155,7.377777841356066,7.377777841356066
2071895,5.7,2007,2500000,5.836101755112664,5.699999809265137,5.699999809265137
2071951,7.5,1983,2000000,7.483333333333333,7.5,7.5
2072211,5.7,2006,8000000,5.693214172246505,5.699999809265137,5.699999809265137
2072489,5.3,2007,60000000,5.796182860858301,5.366666793823242,5.366666793823242
2072498,4.4,2009,75000000,4.901747132202995,5.583333412806193,5.583333412806193
2072519,6.4,1989,31000000,6.466164515454262,7.231250077486038,7.231250077486038
2072735,7.1,2004,4000000,6.9125925328996445,7.099999904632568,7.099999904632568
2074261,7.9,1999,3800000,7.848775188223904,7.900000095367432,7.900000095367432
2074309,5.8,2009,40000000,6.07179186084996,6.0333333015441895,6.0333333015441895
2074356,7.3,2002,18161166,7.182044283812055,6.675000071525574,6.675000071525574
2074716,5.7,2001,48000000,5.944148774390013,5.266666571299235,5.266666571299235
2074752,8,2006,1000000,7.927777776011714,8,8
2074989,3.9,2008,10000000,4.878756186853495,3.9000000953674316,3.9000000953674316
2075019,6.7,2001,250000,6.656353989922338,6.699999809265137,6.699999809265137
2075076,5.5,2006,19000000,5.750087915996922,6.014285700661795,6.014285700661795
2075179,6.1,1980,4800000,6.141883108370445,6.657142843518939,6.657142843518939
2075218,7.5,1973,777000,7.036627834841989,7.149999976158142,7.149999976158142
2075272,8.6,1998,7500000,7.397180518691252,8.600000381469727,8.600000381469727
2075450,4.5,1987,350000,4.971176469092276,4.5,4.5
2075480,6,2001,35000000,6.25784935490993,5.899999936421712,5.899999936421712
2075500,7,1999,11000000,6.633750507400548,6.137142821720668,6.137142821720668
2075501,6.4,2001,30000000,6.27373094108227,5.549999952316284,5.549999952316284
2075510,6.6,1999,650000,6.42425588624818,6.899999976158142,6.899999976158142
2075535,7.6,2000,7000000,6.9545149215871565,7.599999904632568,7.599999904632568
2075562,6.8,2012,50000000,6.4374393913563335,6.800000190734863,6.800000190734863
2075763,6.3,2003,55000000,6.196195666423949,6,6
2075788,5.1,2007,1000000,5.332914785698894,5.099999904632568,5.099999904632568
2076953,8.1,2000,2000000,7.864333656628927,7.900000095367432,7.900000095367432
2077027,7.8,2012,8900000,7.455606190363565,7.3500001430511475,7.3500001430511475
2077285,5.2,2008,6000000,5.461979066557958,5.799999952316284,5.799999952316284
2077360,5.3,2001,500000,5.616922004141453,5.300000190734863,5.300000190734863
2077673,4.4,2008,12000000,5.062584674778082,4.880000019073487,4.880000019073487
2077683,7.4,2007,2000000,6.81863172708813,6.8500001430511475,6.8500001430511475
2077704,5,2005,14000000,5.5519965793943244,4.333333333333333,4.333333333333333
2077716,7.3,1951,2723903,7.279486158141024,7.066666642824809,7.066666642824809
2077780,7.6,1981,10000000,7.206650894721599,6.190909125588157,6.190909125588157
2078118,7.3,2009,6808275,7.110520778742307,7.150000095367432,7.150000095367432
2079258,7.1,2005,30000000,6.675991451251713,7.300000071525574,7.300000071525574
2079571,4.6,1997,45000000,6.0515177416670705,4.4666666984558105,4.4666666984558105
2079580,4.5,2004,25000000,5.729071957098715,5.350000023841858,5.350000023841858
2080705,6.7,1999,30000000,6.559462047641659,6.7500001192092896,6.7500001192092896
2080767,8.8,1971,48684,8.771428755351476,8.800000190734863,8.800000190734863
2080906,7.1,1997,53000000,6.841162708453536,6.635714292526245,6.635714292526245
2080994,6.1,2000,4967104.8,6.2187342670925885,5.6333333651224775,5.6333333651224775
2081234,6.4,2013,50000000,6.325382597235245,6.766666730244954,6.766666730244954
2081238,7.3,2004,26000000,6.645630721776638,6.766666730244954,6.766666730244954
2081454,7.6,1971,100000,7.3186808355797055,7.599999904632568,7.599999904632568
2081671,6.9,2007,8000000,6.843252595061003,6.650000095367432,6.650000095367432
2082135,8.3,1966,15313,8.241571608952114,8.175000190734863,8.175000190734863
2082164,5.9,1982,500000,6.147379489724991,5.900000095367432,5.900000095367432
2082879,5.5,1984,3000000,5.81945168092746,5.5,5.5
2082897,5.9,2007,15000000,6.261532783531954,5.900000095367432,5.900000095367432
2083007,7.3,1987,17000000,7.095152746640907,7.257142952510288,7.257142952510288
2083210,7.1,2005,17346000,6.940476105326698,6.572727246717974,6.572727246717974
2083243,7.3,1999,25000000,7.197473822203926,7.257142952510288,7.257142952510288
2083417,6.7,2009,150000000,6.534587246884257,6.4749999443689985,6.4749999443689985
2083557,1.8,1979,300000,2.6494480090288377,1.7999999523162842,1.7999999523162842
2083601,6.2,2003,75000000,6.204751907675341,6.100000040871756,6.100000040871756
2083807,6.2,2014,325927,6.149625682790264,6.199999809265137,6.199999809265137
2083843,8.1,1974,153743.72,7.670779357061412,7.330769208761362,7.330769208761362
2084154,7.6,1978,3000000,7.179389055504522,6.190909125588157,6.190909125588157
2084173,7.3,2010,4115250,7.129323448796834,6.900000095367432,6.900000095367432
2084647,4.8,2014,12171000,5.630423387270126,5.1250001192092896,5.1250001192092896
2084947,6.7,1999,75000000,6.68137561151984,6.249999920527141,6.249999920527141
2084966,7,1930,376000,7.4075157441688875,7.320000076293946,7.320000076293946
2085022,7.1,1935,1152000,7.2956967648776905,7.320000076293946,7.320000076293946
2085201,5.8,2014,6500000,5.943821553673063,4.700000047683716,4.700000047683716
2085428,6.4,1982,50000000,6.444429058535112,6.989999985694885,6.989999985694885
2085453,7.1,1950,3768785,7.159150139012797,6.970833222071329,6.970833222071329
2085463,8.2,1977,4000000,7.581397551640782,7.158064519205401,7.158064519205401
2085566,7.9,2005,4543840,7.331111168364684,7.6333333651224775,7.6333333651224775
2085821,6.9,2011,30000000,6.831320503987448,6.487500071525574,6.487500071525574
2085870,5.7,1990,38000000,6.023370055626989,6.3900000095367435,6.3900000095367435
2085958,6.5,1998,4500000,6.434920494260581,6.75,6.75
2086004,5,2006,500000,5.162165850092008,5,5
2086018,6,2011,4000000,6.249742961202144,6,6
2086207,7.4,1988,10000000,6.983740696742424,7.158064519205401,7.158064519205401
2086229,5.2,1991,17000000,5.788789700373996,5.199999809265137,5.199999809265137
2086774,6.6,2009,11000000,6.783333275053236,7.285714217594692,7.285714217594692
2086868,7.1,2005,2197160,6.997702624469498,6.699999968210856,6.699999968210856
2086950,6.1,2001,30000000,6.016769589812066,6.266666730244954,6.266666730244954
2086954,5.6,2012,2672790.4,5.762261843861956,5.599999904632568,5.599999904632568
2087193,7.3,2002,12500000,6.859635835271032,7.450000047683716,7.450000047683716
2087200,6.6,1998,60000000,6.424094877963799,6.699999928474426,6.699999928474426
2087318,5.3,2011,1000000,5.410556592235932,5.300000190734863,5.300000190734863
2087979,2.6,2012,5000000,3.8713286148322803,2.5999999046325684,2.5999999046325684
2088245,5.8,2007,4000000,6.118229264186487,6.400000095367432,6.400000095367432
2088466,7.6,1995,62000000,6.8841282937675174,6.4749999443689985,6.4749999443689985
2088476,5.2,2011,5000000,5.362129508565974,5.199999809265137,5.199999809265137
2089319,6.7,1998,14000000,6.475846730661217,7.166666587193807,7.166666587193807
